"日付け","終値","始値","高値","安値","前日比%"
"2019年11月28日","109.54","109.38","109.55","109.35","0.15%"
"2019年11月27日","109.38","109.11","109.61","109.07","0.30%"
"2019年11月26日","109.05","108.92","109.20","108.88","0.12%"
"2019年11月25日","108.92","108.72","108.98","108.64","0.24%"
"2019年11月22日","108.66","108.64","108.73","108.47","0.02%"
"2019年11月21日","108.64","108.61","108.70","108.28","0.03%"
"2019年11月20日","108.61","108.55","108.75","108.34","0.06%"
"2019年11月19日","108.55","108.67","108.86","108.45","-0.11%"
"2019年11月18日","108.67","108.83","109.08","108.52","-0.07%"
"2019年11月15日","108.75","108.41","108.86","108.38","0.31%"
"2019年11月14日","108.41","108.83","108.88","108.25","-0.39%"
"2019年11月13日","108.83","109.00","109.16","108.66","-0.17%"
"2019年11月12日","109.02","109.06","109.31","108.92","-0.04%"
"2019年11月11日","109.06","109.20","109.27","108.89","-0.20%"
"2019年11月08日","109.28","109.28","109.48","109.08","0.00%"
"2019年11月07日","109.28","108.97","109.50","108.66","0.28%"
"2019年11月06日","108.97","109.17","109.19","108.81","-0.17%"
"2019年11月05日","109.16","108.58","109.25","108.55","0.53%"
"2019年11月04日","108.58","108.19","108.66","108.17","0.36%"
"2019年11月01日","108.19","108.06","108.33","107.89","0.15%"
"2019年10月31日","108.03","108.83","108.91","107.92","-0.74%"
"2019年10月30日","108.84","108.89","109.30","108.72","-0.05%"
"2019年10月29日","108.89","108.95","109.08","108.77","-0.06%"
"2019年10月28日","108.95","108.67","109.05","108.66","0.27%"
"2019年10月25日","108.66","108.63","108.79","108.51","0.05%"
"2019年10月24日","108.61","108.67","108.75","108.48","-0.07%"
"2019年10月23日","108.69","108.50","108.72","108.25","0.19%"
"2019年10月22日","108.48","108.61","108.73","108.44","-0.12%"
"2019年10月21日","108.61","108.47","108.67","108.30","0.17%"
"2019年10月18日","108.43","108.66","108.73","108.38","-0.22%"
"2019年10月17日","108.67","108.77","108.94","108.47","-0.09%"
"2019年10月16日","108.77","108.86","108.88","108.57","-0.08%"
"2019年10月15日","108.86","108.42","108.91","108.16","0.43%"
"2019年10月14日","108.39","108.36","108.53","108.03","-0.03%"
"2019年10月11日","108.42","107.98","108.62","107.84","0.42%"
"2019年10月10日","107.97","107.47","108.03","107.03","0.47%"
"2019年10月09日","107.47","107.08","107.64","106.94","0.36%"
"2019年10月08日","107.08","107.30","107.45","106.81","-0.21%"
"2019年10月07日","107.30","106.97","107.47","106.56","0.34%"
"2019年10月04日","106.94","106.92","107.14","106.58","0.02%"
"2019年10月03日","106.92","107.19","107.31","106.48","-0.24%"
"2019年10月02日","107.18","107.73","107.90","107.04","-0.53%"
"2019年10月01日","107.75","108.08","108.47","107.62","-0.31%"
"2019年09月30日","108.08","107.92","108.19","107.75","0.13%"
"2019年09月27日","107.94","107.83","108.19","107.66","0.10%"
"2019年09月26日","107.83","107.78","107.97","107.42","0.05%"
"2019年09月25日","107.78","107.06","107.89","107.00","0.67%"
"2019年09月24日","107.06","107.55","107.80","106.97","-0.46%"
"2019年09月23日","107.56","107.53","107.78","107.31","0.00%"
"2019年09月20日","107.56","108.02","108.09","107.53","-0.43%"
