"日付け","終値","始値","高値","安値","出来高","前日比%"
"2019年11月19日","23,292.65","23,366.36","23,389.53","23,244.93","642.31M","-0.53%"
"2019年11月18日","23,416.76","23,304.25","23,420.62","23,271.29","573.00M","0.49%"
"2019年11月15日","23,303.32","23,160.53","23,340.77","23,121.59","721.80M","0.70%"
"2019年11月14日","23,141.55","23,325.50","23,360.06","23,062.16","799.02M","-0.76%"
"2019年11月13日","23,319.87","23,439.25","23,452.63","23,270.93","634.08M","-0.85%"
"2019年11月12日","23,520.01","23,336.37","23,545.70","23,312.25","629.78M","0.81%"
"2019年11月11日","23,331.84","23,422.13","23,471.82","23,323.02","615.31M","-0.26%"
"2019年11月08日","23,391.87","23,550.04","23,591.09","23,313.41","945.63M","0.26%"
"2019年11月07日","23,330.32","23,283.14","23,336.00","23,253.32","709.13M","0.11%"
"2019年11月06日","23,303.82","23,343.51","23,352.56","23,246.57","774.06M","0.22%"
"2019年11月05日","23,251.99","23,118.79","23,328.52","23,090.94","1.02B","1.76%"
"2019年11月01日","22,850.77","22,730.49","22,852.72","22,705.60","654.07M","-0.33%"
"2019年10月31日","22,927.04","22,910.10","22,988.80","22,875.50","783.15M","0.37%"
"2019年10月30日","22,843.12","22,953.17","22,961.23","22,827.93","1.02B","-0.57%"
"2019年10月29日","22,974.13","22,950.79","23,008.43","22,935.35","728.98M","0.47%"
"2019年10月28日","22,867.27","22,854.44","22,896.22","22,830.57","481.23M","0.30%"
"2019年10月25日","22,799.81","22,753.24","22,819.92","22,715.13","571.58M","0.22%"
"2019年10月24日","22,750.60","22,725.44","22,780.99","22,704.33","612.71M","0.55%"
"2019年10月23日","22,625.38","22,619.77","22,648.81","22,457.89","680.22M","0.34%"
"2019年10月21日","22,548.90","22,541.22","22,581.28","22,515.73","484.20M","0.25%"
"2019年10月18日","22,492.68","22,528.56","22,649.85","22,466.26","592.38M","0.18%"
"2019年10月17日","22,451.86","22,451.15","22,522.39","22,424.92","578.29M","-0.09%"
"2019年10月16日","22,472.92","22,479.57","22,615.47","22,434.35","787.21M","1.20%"
"2019年10月15日","22,207.21","22,063.71","22,219.63","22,049.71","744.61M","1.87%"
"2019年10月11日","21,798.87","21,749.93","21,820.77","21,658.27","673.99M","1.15%"
"2019年10月10日","21,551.98","21,456.27","21,601.46","21,308.88","599.29M","0.45%"
"2019年10月09日","21,456.38","21,359.84","21,467.77","21,359.84","554.12M","-0.61%"
"2019年10月08日","21,587.78","21,494.48","21,629.24","21,483.18","607.85M","0.99%"
"2019年10月07日","21,375.25","21,445.73","21,475.28","21,328.26","474.43M","-0.16%"
"2019年10月04日","21,410.20","21,316.18","21,410.20","21,276.01","577.50M","0.32%"
"2019年10月03日","21,341.74","21,422.22","21,437.74","21,277.36","677.11M","-2.01%"
"2019年10月02日","21,778.61","21,744.62","21,795.01","21,725.23","633.26M","-0.49%"
"2019年10月01日","21,885.24","21,831.44","21,938.77","21,811.98","623.26M","0.59%"
"2019年09月30日","21,755.84","21,793.83","21,811.98","21,666.60","698.59M","-0.56%"
"2019年09月27日","21,878.90","21,934.93","21,955.79","21,733.69","763.94M","-0.77%"
"2019年09月26日","22,048.24","22,160.52","22,184.91","21,986.24","816.31M","0.13%"
"2019年09月25日","22,020.15","21,961.82","22,036.48","21,906.00","616.06M","-0.36%"
"2019年09月24日","22,098.84","22,095.35","22,168.74","22,077.94","683.76M","0.09%"
"2019年09月20日","22,079.09","22,130.74","22,204.75","22,047.90","850.33M","0.16%"
"2019年09月19日","22,044.45","22,064.46","22,255.56","22,003.30","781.60M","0.38%"
"2019年09月18日","21,960.71","22,014.65","22,027.86","21,942.03","693.98M","-0.18%"
"2019年09月17日","22,001.32","21,947.59","22,041.08","21,878.63","815.24M","0.06%"
"2019年09月13日","21,988.29","21,907.83","22,019.66","21,820.94","1.16B","1.05%"
"2019年09月12日","21,759.61","21,761.09","21,825.92","21,743.96","960.34M","0.75%"
"2019年09月11日","21,597.76","21,466.66","21,619.21","21,437.82","1.10B","0.96%"
"2019年09月10日","21,392.10","21,363.57","21,438.35","21,350.35","923.75M","0.35%"
